SRR28797669,2024ZN-0072,OH-VH01632-240202
SRR28797670,2024ZN-0089,OH-VH01632-240202
SRR28797671,2024ZN-0088,OH-VH01632-240202
SRR28797672,2024ZN-0087,OH-VH01632-240202
SRR28797673,2024ZN-0086,OH-VH01632-240202
SRR28797674,2024ZN-0085,OH-VH01632-240202
SRR28797675,2024ZN-0084,OH-VH01632-240202
SRR28797676,2024ZN-0083,OH-VH01632-240202
SRR28797677,2024ZN-0082,OH-VH01632-240202
SRR28797678,2024ZN-0081,OH-VH01632-240202
SRR28797679,2024ZN-0080,OH-VH01632-240202
SRR28797680,2024ZN-0071,OH-VH01632-240202
SRR28797681,2024ZN-0070,OH-VH01632-240202
SRR28822023,2024ZN-0105,OH-VH01632-240202
SRR28822024,2024ZN-0104,OH-VH01632-240202
SRR28822025,2024ZN-0103,OH-VH01632-240202
SRR28822026,2024ZN-0102,OH-VH01632-240202
SRR28822027,2024ZN-0101,OH-VH01632-240202
SRR28822028,2024ZN-0100,OH-VH01632-240202
SRR28822029,2024ZN-0099,OH-VH01632-240202
SRR28822030,2024ZN-0098,OH-VH01632-240202
SRR28822031,2023ZN-0064,OH-VH01632-240202
SRR28822032,2023ZN-0063,OH-VH01632-240202
SRR28822033,2024ZN-0113,OH-VH01632-240202
SRR28822034,2024ZN-0112,OH-VH01632-240202
SRR28822035,2024ZN-0111,OH-VH01632-240202
SRR28822036,2024ZN-0110,OH-VH01632-240202
SRR28822037,2024ZN-0108,OH-VH01632-240202
SRR28822038,2024ZN-0107,OH-VH01632-240202
SRR28822039,2024ZN-0106,OH-VH01632-240202
SRR28822040,2024ZN-0097,OH-VH01632-240202
SRR28822041,2024ZN-0096,OH-VH01632-240202
SRR28824190,2023ZN-0076,OH-VH01632-240202
SRR28824191,2023ZN-0075,OH-VH01632-240202
SRR28824192,2023ZN-0074,OH-VH01632-240202
SRR28824193,2023ZN-0073,OH-VH01632-240202
SRR28824194,2023ZN-0072,OH-VH01632-240202
SRR28824195,2023ZN-0071,OH-VH01632-240202
SRR28824196,2023ZN-0068,OH-VH01632-240202
SRR28824197,2024ZN-0126,OH-VH01632-240202
SRR28824198,2024ZN-0125,OH-VH01632-240202
SRR28824199,2024ZN-0124,OH-VH01632-240202
SRR28824200,2024ZN-0123,OH-VH01632-240202
SRR28824201,2023ZN-0067,OH-VH01632-240202
SRR28824202,2024ZN-0122,OH-VH01632-240202
SRR28824203,2024ZN-0121,OH-VH01632-240202
SRR28824204,2024ZN-0120,OH-VH01632-240202
SRR28824205,2024ZN-0119,OH-VH01632-240202
SRR28824206,2024ZN-0118,OH-VH01632-240202
SRR28824207,2024ZN-0117,OH-VH01632-240202
SRR28824208,2024ZN-0116,OH-VH01632-240202
SRR28824209,2024ZN-0115,OH-VH01632-240202
SRR28824210,2024ZN-0114,OH-VH01632-240202
SRR28824211,2023ZN-0077,OH-VH01632-240202
SRR28824212,2023ZN-0066,OH-VH01632-240202
SRR28824213,2023ZN-0065,OH-VH01632-240202
SRR28825088,2024ZN-0136
SRR28825089,2024ZN-0135
SRR28825090,2024ZN-0134
SRR28825091,2024ZN-0133
SRR28825092,2024ZN-0132
SRR28825093,2024ZN-0131
SRR28825094,2024ZN-0130
SRR28825095,2024ZN-0129
SRR28825096,2024ZN-0138
SRR28825097,2024ZN-0137
SRR28825098,2024ZN-0128
SRR28825099,2024ZN-0127
SRR28996661,2023ZN-0070
SRR28996662,2023ZN-0069
SRR29021537,2024ZN-0151
SRR29021538,2024ZN-0150
SRR29021539,2024ZN-0149
SRR29021540,2024ZN-0148
SRR29021541,2024ZN-0147
SRR29021542,2024ZN-0146
SRR29021543,2024ZN-0145
SRR29021544,2024ZN-0144
SRR29021545,2024ZN-0152
SRR29021546,2024ZN-0143
SRR29021547,2024ZN-0142
SRR29120354,2024ZN-0161
SRR29120355,2024ZN-0160
SRR29120356,2024ZN-0159
SRR29120357,2024ZN-0158
SRR29120358,2024ZN-0157
SRR29120359,2024ZN-0156
SRR29120360,2024ZN-0155
SRR29120361,2024ZN-0154
SRR29120362,2024ZN-0153
SRR29282332,2024ZN-0183
SRR29327166,2024ZN-0171,OH-VH00648-240301
SRR29327167,2024ZN-0170,OH-VH00648-240301
SRR29327168,2024ZN-0169,OH-VH00648-240301
SRR29327169,2024ZN-0168,OH-VH00648-240301
SRR29327170,2024ZN-0167,OH-VH00648-240301
SRR29327171,2024ZN-0166,OH-VH00648-240301
SRR29327172,2024ZN-0165,OH-VH00648-240301
SRR29327173,2024ZN-0164,OH-VH00648-240301
SRR29327174,2024ZN-0181,OH-VH00648-240301
SRR29327175,2024ZN-0180,OH-VH00648-240301
SRR29327176,2024ZN-0179,SAMN41752569,OH-VH00648-240301
SRR29327177,2024ZN-0178,OH-VH00648-240301
SRR29327178,2024ZN-0177,OH-VH00648-240301
SRR29327179,2024ZN-0176,OH-VH00648-240301
SRR29327180,2024ZN-0175,OH-VH00648-240301
SRR29327181,2024ZN-0174,OH-VH00648-240301
SRR29327182,2024ZN-0173,OH-VH00648-240301
SRR29327183,2024ZN-0172,OH-VH00648-240301
SRR29327184,2024ZN-0163,OH-VH00648-240301
SRR29327185,2024ZN-0162,OH-VH00648-240301
SRR29409431,2024ZN-0192,SAMN41831293,
SRR29409432,2024ZN-0191,SAMN41831292
SRR29409433,2024ZN-0190,SAMN41831291
SRR29409434,2024ZN-0189,SAMN41831290
SRR29409435,2024ZN-0203,OH-VH01632-240605
SRR29409436,2024ZN-0196,SAMN41831288
SRR29409437,2024ZN-0195,SAMN41831287
SRR29468024,2024ZN-0200,OH-VH00648-240326
SRR29468025,2024ZN-0199,OH-VH00648-240326
SRR29468026,2024ZN-0198,OH-VH00648-240326
SRR29468027,2024ZN-0202,OH-VH00648-240326
SRR29468028,2024ZN-0201,OH-VH00648-240326
SRR29501340,2024ZN-0210,OH-VH01632-240605
SRR29501341,2024ZN-0209,OH-VH01632-240605
SRR29501342,2024ZN-0208,OH-VH01632-240605
SRR29501343,2024ZN-0207,OH-VH01632-240605
SRR29501344,2024ZN-0205,OH-VH01632-240605
SRR29501345,2024ZN-0204,OH-VH01632-240605
SRR29501346,2024ZN-0187,OH-VH01632-240605
SRR29501347,2024ZN-0186,OH-VH01632-240605
SRR29501348,2024ZN-0185,OH-VH01632-240605
SRR29501349,2024ZN-0184,OH-VH01632-240605
SRR29656108,2024ZN-0211,OH-VH01632-240605
SRR29667697,2024ZN-0213,OH-VH00648-240614
SRR29667698,2024ZN-0212,OH-VH00648-240614
SRR29694594,2024ZN-0215,OH-VH00648-240614
SRR29694595,2024ZN-0214,OH-VH00648-240614
SRR29705302,2024ZN-0225,OH-VH00648-240301
SRR29705303,2024ZN-0224,OH-VH00648-240301
SRR29705304,2024ZN-0223,OH-VH00648-240301
SRR29705305,2024ZN-0222,OH-VH00648-240301
SRR29705306,2024ZN-0221,OH-VH00648-240301
SRR29705307,2024ZN-0220,OH-VH00648-240301
SRR29705308,2024ZN-0219,OH-VH00648-240301
SRR29705309,2024ZN-0218,SAMN42320917,OH-VH00648-240301
SRR29705310,2024ZN-0230,OH-VH00648-240301
SRR29705311,2024ZN-0229,OH-VH00648-240301
SRR29705312,2024ZN-0228,OH-VH00648-240301
SRR29705313,2024ZN-0227,OH-VH00648-240301
SRR29705314,2024ZN-0226,OH-VH00648-240301
SRR29705315,2024ZN-0217,OH-VH00648-240301
SRR29705316,2024ZN-0216,OH-VH00648-240301
SRR29763005,2024ZN-0241,OH-VH00648-240326
SRR29763006,2024ZN-0240,OH-VH00648-240326
SRR29763007,2024ZN-0239,OH-VH00648-240326
SRR29763008,2024ZN-0238,OH-VH00648-240326
SRR29763009,2024ZN-0237,OH-VH00648-240326
SRR29763010,2024ZN-0236,OH-VH00648-240326
SRR29763011,2024ZN-0235,OH-VH00648-240326
SRR29763012,2024ZN-0234,OH-VH00648-240326
SRR29763013,2024ZN-0231,OH-VH00648-240326
SRR29763014,2024ZN-0243,OH-VH00648-240326
SRR29763015,2024ZN-0242,OH-VH00648-240326
SRR29763016,2024ZN-0233,OH-VH00648-240326
SRR29763017,2024ZN-0232,OH-VH00648-240326
SRR29845877,2024ZN-0246,OH-VH01632-240329
SRR29845878,2024ZN-0245,OH-VH01632-240329
SRR29845879,2024ZN-0244,OH-VH01632-240329
SRR29849649,2024ZN-0255,OH-VH01632-240329
SRR29849650,2024ZN-0254,OH-VH01632-240329
SRR29849651,2024ZN-0253,OH-VH01632-240329
SRR29849652,2024ZN-0252,OH-VH01632-240329
SRR29849653,2024ZN-0251,OH-VH01632-240329
SRR29849654,2024ZN-0250,OH-VH01632-240329
SRR29858988,2024ZN-0268,OH-VH01632-240223
SRR29858989,2024ZN-0267,OH-VH01632-240223
SRR29858990,2024ZN-0266,OH-VH01632-240223
SRR29858991,2024ZN-0265,OH-VH01632-240223
SRR29858992,2024ZN-0264,OH-VH01632-240223
SRR29858993,2024ZN-0263,OH-VH01632-240223
SRR29858994,2024ZN-0262,OH-VH01632-240223
SRR29858995,2024ZN-0261,OH-VH01632-240223
SRR29858996,2024ZN-0260,OH-VH01632-240223
SRR29858997,2024ZN-0259,SAMN42557350,OH-VH01632-240223
SRR29915604,2024ZN-0271,OB24003
SRR29915605,2024ZN-0270,OB24003
SRR29915606,2024ZN-0269,OB24003
SRR29930904,2024ZN-0281,OH-VH00648-240326
SRR29930905,2024ZN-0280,OH-VH00648-240326
SRR29930906,2024ZN-0279,OH-VH00648-240326
SRR29930907,2024ZN-0278,OH-VH00648-240326
