WGSID,CGR_ID,PROJECT_ID,DATE_ASSIGNED
2023-GZ-0000,2022020515,OH-VH00648-230526,20230606
2023-GZ-0001,2022020568,OH-VH00648-230526,20230703
2023-GZ-0002,2022020702,OH-VH00648-230526,20230703
2023-GZ-0003,2022020709,OH-VH00648-230526,20230703
